"word","n"
"mr",14024
"said",13154
"trump",7614
"new",5296
"time",4941
"one",4642
"state",4321
"year",4234
"like",3601
"peopl",3583
"presid",3551
"also",2951
"york",2633
"say",2585
"ms",2407
"work",2348
"go",2333
"report",2259
"call",2231
"make",2201
"american",2167
"first",2156
"even",2136
"two",2136
"last",2131
"nation",2126
"mani",2121
"hous",2079
"day",2055
"unit",2036
"get",1993
"use",1967
"includ",1872
"clinton",1853
"news",1853
"want",1845
"govern",1818
"countri",1747
"offic",1722
"take",1719
"show",1678
"offici",1676
"republican",1665
"campaign",1658
"compani",1645
"way",1628
"group",1602
"back",1571
"citi",1534
"week",1526
"polit",1507
"democrat",1495
"come",1492
"made",1486
"support",1475
"told",1462
"white",1462
"may",1422
"think",1420
"famili",1412
"law",1393
"right",1389
"school",1377
"live",1347
"much",1343
"help",1340
"world",1337
"obama",1333
"elect",1331
"percent",1324
"know",1313
"million",1310
"breitbart",1293
"look",1292
"ask",1269
"still",1262
"see",1245
"polic",1241
"parti",1239
"public",1233
"month",1232
"accord",1227
"sinc",1223
"administr",1222
"plan",1216
"part",1212
"tri",1199
"case",1197
"former",1181
"gener",1178
"ad",1177
"home",1175
"need",1157
"anoth",1141
"chang",1131
"court",1127
"member",1124
"recent",1120
"senat",1117
"well",1113
"twitter",1109
"polici",1104
"thing",1101
"attack",1098
"follow",1094
"three",1082
"secur",1075
"feder",1073
"us",1073
"donald",1045
"u",1030
"issu",1028
"investig",1026
"vote",1025
"media",1020
"end",1019
"women",1017
"point",1009
"around",1006
"start",1002
"forc",999
"good",979
"play",978
"leader",977
"long",977
"move",974
"power",974
"univers",965
"found",963
"execut",954
"question",953
"place",952
"job",948
"busi",940
"team",938
"meet",931
"continu",920
"run",916
"turn",909
"person",901
"washington",894
"later",889
"never",883
"man",876
"depart",873
"life",868
"put",868
"statement",866
"sever",863
"organ",862
"post",861
"kill",859
"rule",859
"immigr",853
"name",852
"next",848
"open",847
"critic",842
"interview",842
"took",839
"bill",830
"talk",830
"might",828
"close",827
"seem",823
"care",819
"whether",818
"becom",814
"face",814
"children",812
"appear",811
"tax",810
"chief",808
"left",796
"night",791
"c",789
"commun",787
"find",786
"black",783
"health",783
"among",781
"give",780
"deal",779
"offer",776
"game",774
"believ",773
"friday",772
"someth",768
"wrote",766
"number",765
"order",761
"set",761
"claim",759
"author",758
"money",747
"director",746
"realli",744
"everi",741
"came",740
"provid",724
"allow",723
"differ",723
"student",719
"major",716
"build",715
"though",714
"without",709
"program",707
"lead",704
"decis",702
"leav",702
"america",701
"littl",696
"stori",696
"receiv",695
"keep",691
"system",691
"judg",690
"happen",686
"remain",685
"fight",680
"servic",679
"intern",678
"act",677
"presidenti",677
"china",674
"feel",672
"russia",670
"big",669
"releas",666
"expect",665
"less",664
"often",663
"repres",661
"men",660
"effort",659
"tuesday",657
"russian",654
"oper",653
"agenc",652
"justic",651
"least",651
"hand",650
"record",650
"street",649
"hope",645
"interest",643
"friend",642
"head",640
"line",639
"center",638
"monday",638
"fund",637
"foreign",636
"return",636
"comment",632
"far",628
"inform",628
"suggest",626
"war",626
"north",624
"problem",622
"respons",621
"dr",620
"rate",620
"candid",618
"charg",617
"four",616
"yet",615
"manag",614
"social",613
"final",612
"second",610
"market",608
"creat",604
"possibl",604
"pay",603
"lot",601
"sunday",599
"great",596
"j",596
"email",594
"past",594
"mean",593
"sign",593
"tell",591
"began",590
"share",589
"stop",589
"press",588
"protect",588
"area",587
"went",585
"histori",584
"rais",583
"brief",582
"islam",582
"larg",582
"thursday",582
